ID Region,ID,Nombre
10,100309,"Cochamo"
10,100401,"Ancud"
10,100402,"Quemchi"
10,100403,"Dalcahue"
10,100404,"Curaco de Velez"
10,100405,"Castro"
10,100406,"Chonchi"
10,100407,"Queilen"
10,100408,"Quellon"
10,100409,"Quinchao"
10,100410,"Puqueldon"
10,100501,"Chaiten"
10,100502,"Futaleufu"
10,100503,"Palena"
10,100504,"Hualaihue"
11,110101,"Guaitecas"
11,110102,"Cisnes"
11,110103,"Aysen"
11,110201,"Coyhaique"
11,110202,"Lago Verde"
11,110301,"Rio Iba?ez"
11,110302,"Chile Chico"
11,110401,"Cochrane"
11,110402,"Tortel"
11,110403,"O""Higins"
12,120101,"Torres del Paine"
12,120102,"Puerto Natales"
12,120201,"Laguna Blanca"
12,120202,"San Gregorio"
12,120203,"Rio Verde"
12,120204,"Punta Arenas"
12,120301,"Porvenir"
12,120302,"Primavera"
12,120303,"Timaukel"
12,120401,"Antartica"
13,130101,"Tiltil"
13,130102,"Colina"
13,130103,"Lampa"
13,130201,"Conchali"
13,130202,"Quilicura"
13,130203,"Renca"
13,130204,"Las Condes"
13,130205,"Pudahuel"
13,130206,"Quinta Normal"
13,130207,"Providencia"
13,130208,"Santiago"
13,130209,"La Reina"
13,130210,"Ñuñoa"
13,130211,"San Miguel"
13,130212,"Maipú"
13,130213,"La Cisterna"
13,130214,"La Florida"
13,130215,"La Granja"
13,130216,"Independencia"
13,130217,"Huechuraba"
13,130218,"Recoleta"
13,130219,"Vitacura"
13,130220,"Lo Barrenechea"
13,130221,"Macul"
13,130222,"Peñalolén"
13,130223,"San Joaquín"
13,130224,"La Pintana"
13,130225,"San Ramon"
13,130226,"El Bosque"
13,130227,"Pedro Aguirre Cerda"
13,130228,"Lo Espejo"
13,130229,"Estacion Central"
13,130230,"Cerrillos"
13,130231,"Lo Prado"
13,130232,"Cerro Navia"
13,130301,"San José de Maipo"
13,130302,"Puente Alto"
13,130303,"Pirque"
13,130401,"San Bernardo"
13,130402,"Calera de Tango"
13,130403,"Buin"
13,130404,"Paine"
13,130501,"Peñaflor"
